model_config_id,coverage_stratum,analysis_period,metric,questions_expected,questions_paired,rag_n,rag_mean,rag_standard_deviation,rag_median,rag_iqr,rag_p50,rag_p95,web_n,web_mean,web_standard_deviation,web_median,web_iqr,web_p50,web_p95,paired_difference_rag_minus_web_n,paired_difference_rag_minus_web_mean,paired_difference_rag_minus_web_standard_deviation,paired_difference_rag_minus_web_median,paired_difference_rag_minus_web_iqr,paired_difference_rag_minus_web_p50,paired_difference_rag_minus_web_p95,paired_difference_ci95_low,paired_difference_ci95_high,paired_ratio_rag_over_web_mean,paired_ratio_ci95_low,paired_ratio_ci95_high,bootstrap_resamples,bootstrap_cluster
gpt56_sol_high,all_prespecified_80_20,1_primary,time_to_first_token_ms,100,100,100,4590.728639157023,3212.824954995195,4253.511090006214,5043.025877035689,4253.511090006214,10719.182657147756,100,26155.196302623954,18416.545695990346,20333.346383529715,21973.600212542806,20333.346383529715,60501.551142003154,100,-21564.46766346693,18642.1468632843,-16101.584496034775,23095.72337399004,-16101.584496034775,-2473.029353370658,-25358.41269436304,-18125.74874747466,0.25893532863773194,0.21368097257783805,0.3061222146514984,10000,question_id
gpt56_sol_high,all_prespecified_80_20,1_primary,total_tokens,100,100,100,5227.61,3112.745541472929,4947.0,4307.5,4947.0,10801.5,100,31355.08,13550.448779835651,29815.5,19619.25,29815.5,53143.19999999999,100,-26127.47,14289.968610815098,-24407.5,23193.5,-24407.5,-6715.400000000001,-28999.5985,-23328.394500000002,0.21760375498413848,0.18171916148272726,0.25753986125892003,10000,question_id
gpt56_sol_high,all_prespecified_80_20,1_primary,input_tokens,100,100,100,4598.43,2933.029599478011,4362.5,4203.25,4362.5,10301.699999999999,100,29533.48,12893.106442865921,28085.0,18576.75,28085.0,49105.19999999998,100,-24935.05,13636.212157618249,-23262.5,22841.5,-23262.5,-5926.25,-27608.727000000003,-22317.06375,0.20606243065288082,0.17006820432495134,0.2449386125739957,10000,question_id
gpt56_sol_high,all_prespecified_80_20,1_primary,output_tokens,100,100,100,629.18,401.2926935026177,567.0,638.0,567.0,1344.25,100,1821.6,878.0158416462758,1609.0,1158.25,1609.0,3470.1,100,-1192.42,945.6831337688907,-942.5,1256.5,-942.5,-53.90000000000029,-1381.3905000000002,-1009.7195,0.41261887723673646,0.3576794866506647,0.4687919791070734,10000,question_id
gpt56_sol_high,all_prespecified_80_20,1_primary,reasoning_tokens,100,100,100,276.96,259.52551576547023,250.5,453.0,250.5,800.9,100,1284.58,756.0461904012228,1066.5,966.25,1066.5,2686.7999999999997,100,-1007.62,818.3381136686891,-783.5,1024.5,-783.5,-35.600000000000364,-1170.22025,-850.75775,0.2913523912462026,0.23294564953274152,0.3556334453243817,10000,question_id
gpt56_sol_high,all_prespecified_80_20,1_primary,local_retrieval_ms,100,0,100,261.29389606881887,44.99612336012528,274.83567653689533,60.82325943862088,274.83567653689533,313.1640204577707,0,,,,,,,0,,,,,,,,,,,,10000,question_id
gpt56_sol_high,covered_by_local_corpus,mean_of_two_runs,total_estimated_cost_usd,80,80,80,0.0419087625,0.01528410895279324,0.0398045,0.022737499999999994,0.0398045,0.06730075,80,0.16186764250000002,0.06764336465856492,0.1523676,0.09823725000000001,0.1523676,0.27817125000000004,80,-0.11995888,0.06599683578710211,-0.11876545000000001,0.10052500000000002,-0.11876545000000001,-0.01991800000000001,-0.134476329875,-0.10574501300000001,0.31763510191142086,0.2714375070606162,0.3718781225766906,10000,question_id
gpt56_sol_high,covered_by_local_corpus,mean_of_two_runs,end_to_end_ms,80,80,80,10590.846788890485,4710.565542833596,10197.774663509335,7010.117832425749,10197.774663509335,18264.183914539168,80,32909.340458224324,16926.530781876405,28626.483538741013,20146.130454319064,28626.483538741013,65038.41132078377,80,-22318.49366933384,14651.16904414527,-18602.899740013527,15403.121832219767,-18602.899740013527,-3832.483370121918,-25602.987568752123,-19202.287935849363,0.3642718521393453,0.3268577683976503,0.4057563531398121,10000,question_id
gpt56_sol_high,covered_by_local_corpus,mean_of_two_runs,api_wall_ms,80,80,80,10048.572683706152,4696.298339961497,9649.21244623838,7016.950705379713,9649.21244623838,17647.563522166452,80,32682.148500352923,16883.137527063827,28408.475504256785,20143.02480717015,28408.475504256785,64835.58283199963,80,-22633.57581664677,14622.03587096458,-18941.307247034274,15468.597244514967,-18941.307247034274,-4110.411356805707,-25823.092738357063,-19547.22490742816,0.3460363640570006,0.309293590876035,0.38703439591774635,10000,question_id
gpt56_sol_high,covered_by_local_corpus,mean_of_two_runs,time_to_first_token_ms,80,80,80,5658.307984034764,2854.4047270622523,5050.51553278463,4137.9101949278265,5050.51553278463,11082.23260854138,80,26110.012379709224,13566.684645898542,23803.245896240696,17579.665501136333,23803.245896240696,52733.01988818566,80,-20451.70439567446,12251.968071163035,-17360.15372851398,15323.187773639802,-17360.15372851398,-4685.82636251522,-23186.80333567907,-17835.853480552396,0.24882553630293397,0.21741797354426623,0.2824957684665369,10000,question_id
gpt56_sol_high,covered_by_local_corpus,mean_of_two_runs,total_tokens,80,80,80,6247.91875,2619.5054930511214,5772.25,3994.0,5772.25,11072.949999999999,80,30374.18125,11029.721412540372,28364.25,15768.75,28364.25,49422.225,80,-24126.2625,11275.92682765486,-23535.5,16137.625,-23535.5,-7746.7750000000015,-26589.947187499998,-21677.60671875,0.24184039621766779,0.2079983496177257,0.2813079432242627,10000,question_id
gpt56_sol_high,covered_by_local_corpus,mean_of_two_runs,input_tokens,80,80,80,5510.125,2560.458930259242,4945.0,3834.25,4945.0,10414.55,80,28670.6625,10449.8200362358,26448.5,15121.0,26448.5,46415.775,80,-23160.5375,10887.040774594807,-22401.0,15537.5,-22401.0,-7334.550000000001,-25568.2728125,-20830.304375,0.2293281582199298,0.19482345622475375,0.2690035113418999,10000,question_id
gpt56_sol_high,covered_by_local_corpus,mean_of_two_runs,output_tokens,80,80,80,737.79375,364.6590456586758,697.75,577.625,697.75,1328.6499999999999,80,1703.51875,730.3016345949724,1587.5,1093.125,1587.5,2747.15,80,-965.725,558.5541569109764,-918.0,677.5,-918.0,-235.95,-1089.94421875,-843.605625,0.450471872407419,0.4070499743923198,0.49766871234241716,10000,question_id
gpt56_sol_high,covered_by_local_corpus,mean_of_two_runs,reasoning_tokens,80,80,80,342.63125,228.37420357644865,306.25,309.5,306.25,757.25,80,1186.26875,596.5727535488851,1082.25,861.75,1082.25,2079.5999999999995,80,-843.6375,520.4473852892628,-770.75,618.875,-770.75,-124.50000000000017,-957.15171875,-734.771875,0.30924572944089734,0.26216694928952883,0.3613526483255113,10000,question_id
gpt56_sol_high,covered_by_local_corpus,mean_of_two_runs,local_retrieval_ms,80,0,80,261.4712644855899,46.159434817973086,277.5502057047561,74.27837436262053,277.5502057047561,315.3770302073099,0,,,,,,,0,,,,,,,,,,,,10000,question_id
gpt56_sol_high,covered_by_local_corpus,1_primary,total_estimated_cost_usd,80,80,80,0.042287375,0.015347119937106246,0.042632,0.022085,0.042632,0.067718,80,0.156441555,0.0807983639233719,0.1321526,0.14546425,0.1321526,0.28896835,80,-0.11415418000000001,0.07926615657749338,-0.09829079999999998,0.13586525,-0.09829079999999998,-0.015122450000000029,-0.131110256875,-0.096881781375,0.3599150851404373,0.3050191003287672,0.4234723631022762,10000,question_id
gpt56_sol_high,covered_by_local_corpus,1_primary,end_to_end_ms,80,80,80,10262.137936339423,5111.74290226151,9807.892145996448,7297.351313434774,9807.892145996448,17775.441400677664,80,28363.05522112234,17003.378554271716,24081.73367351992,21108.337137731723,24081.73367351992,63806.97309574461,80,-18100.917284782918,15366.169303125089,-14159.65674398467,18943.397290015128,-14159.65674398467,-1875.417933636349,-21613.525858085013,-14820.591862945657,0.43731485859815666,0.3847459630112337,0.4931484447060025,10000,question_id
gpt56_sol_high,covered_by_local_corpus,1_primary,api_wall_ms,80,80,80,9796.210029581562,5096.115972507315,9372.835654998198,7380.594565212959,9372.835654998198,17365.145631931955,80,28226.688899550936,16983.91014029526,23945.747847959865,21175.592659477843,23945.747847959865,63647.380936658,80,-18430.478869969375,15379.425980967027,-14477.35105198808,19039.592524262844,-14477.35105198808,-2143.8699376070913,-21846.77510591726,-15171.99594069225,0.4178541571895155,0.36695711052894714,0.4728849412655286,10000,question_id
